x,y,u,v,mag
238589.389,9107495.707,-0.00021,0.00006,0.00022
238417.545,9108094.447,-0.00679,0.00133,0.00692
238787.200,9108464.237,-0.00023,0.00005,0.00023
238541.002,9109047.433,-0.00722,-0.00017,0.00722
238821.878,9109440.600,-0.00017,-0.00003,0.00018
238475.455,9110014.830,-0.00747,-0.00079,0.00751
238718.431,9110430.407,-0.00019,-0.00002,0.00019
238372.543,9110989.690,-0.00732,-0.00078,0.00736
238611.419,9111420.613,-0.00020,-0.00001,0.00020
238259.337,9111967.160,-0.00703,-0.00081,0.00708
238497.678,9112413.027,-0.00021,-0.00002,0.00021
238124.538,9112969.127,-0.00719,-0.00109,0.00727
238340.216,9113418.870,-0.00017,-0.00003,0.00017
238117.162,9114042.497,-0.00015,-0.00007,0.00016
237664.001,9114211.897,-0.00591,-0.00395,0.00711
237381.895,9114756.893,-0.00673,-0.00270,0.00725
237518.359,9115182.370,-0.00013,-0.00007,0.00015
236969.085,9115607.687,-0.00637,-0.00345,0.00724
237048.731,9116060.143,-0.00014,-0.00007,0.00016
236505.631,9116473.123,-0.00623,-0.00332,0.00706
236579.859,9116940.123,-0.00014,-0.00007,0.00016
236040.216,9117340.217,-0.00589,-0.00316,0.00668
236108.272,9117819.550,-0.00015,-0.00008,0.00017
235562.347,9118200.273,-0.00585,-0.00331,0.00672
235626.635,9118692.280,-0.00016,-0.00009,0.00019
235044.264,9119029.727,-0.00562,-0.00450,0.00720
235047.304,9119493.707,-0.00011,-0.00009,0.00014
234406.851,9119776.993,-0.00511,-0.00461,0.00688
234378.808,9120236.860,-0.00011,-0.00010,0.00014
233746.737,9120510.943,-0.00500,-0.00453,0.00674
233709.556,9120977.793,-0.00011,-0.00010,0.00015
233085.973,9121242.383,-0.00491,-0.00442,0.00661
233040.411,9121718.440,-0.00012,-0.00010,0.00015
232424.612,9121974.307,-0.00464,-0.00416,0.00624
232370.562,9122459.857,-0.00012,-0.00011,0.00016
231757.543,9122707.310,-0.00461,-0.00418,0.00622
231695.708,9123201.580,-0.00013,-0.00011,0.00017
231071.280,9123460.803,-0.00473,-0.00418,0.00631
231006.665,9123963.487,-0.00012,-0.00010,0.00015
230487.294,9124370.880,-0.00006,-0.00012,0.00013
229996.995,9124301.087,-0.00284,-0.00544,0.00613
