x,y
230607.317,9025649.72
231193.509,9024380.95
231858.212,9023067.96
232658.435,9021746.92
233537.552,9020422.26
234513.447,9019108.46
235571.576,9017811.58
236722.098,9016560
237979.131,9015382.96
239329.653,9014281.18
240747.086,9013239.94
242224.817,9012266.07
243761.714,9011367.9
245342.198,9010525.49
246946.667,9009710.22
248569.07,9008918.88
250218.341,9008171.63
251898.459,9007483.97
253609.02,9006855.48
255342.09,9006297.29
257115.203,9005871.86
258919.787,9005592.79
260737.637,9005415.31
262560.304,9005272.87
264383.204,9005147.14
266205.734,9005032.72
268027.16,9004937.52
269846.362,9004887.33
271662.594,9004909.02
273474.466,9005000.73
275276.724,9005147.08
277037.792,9005398.29
278688.753,9005570.56
280128.102,9006297.57
281766.418,9006952.96
283341.636,9007707.39
284862.519,9008544.11
286323.073,9009458.99
287737.579,9010383.86
289092.326,9011340.9
290351.845,9012355.1
291494.205,9013437.64
292541.912,9014556.24
293469.193,9015771.53
294497.164,9016785.66
294892.611,9017974.85
295744.383,9019054.72
296336.783,9020055.79
296593.333,9020787.25
297262.198,9020925.59
297518,9021329
297930.818,9021402.21
235255.856,9099692.92
235197.043,9100083.96
234872.972,9100289.56
234807.312,9100886.84
234770.985,9101366.59
234966.319,9101675.06
235037.129,9102220.17
235195.703,9102936.75
235422.485,9103594.23
235622.386,9104299.01
235828.518,9105031.98
236015.007,9105795.92
236188.422,9106577.07
236363.749,9107385.69
236509.14,9108213.57
236583.351,9109058.65
236559.541,9109917.81
236474.873,9110783.88
236359.577,9111654.97
236208.062,9112514.27
235927.708,9113360.56
235543.757,9114159.43
235127.856,9114953.71
234708.54,9115741.09
234275.382,9116526.26
233815.352,9117297.37
233301.716,9118032.97
232733.073,9118729.48
232125.407,9119403.05
231526.116,9120066.33
230928.032,9120741.56
230312.389,9121405.81
229678.328,9122046.1
228915.156,9122693.52
228024.768,9123098.36
227237.169,9123358.1
226571.5,9123783.74
225757.633,9124125.09
224888.749,9124513.49
223972.998,9124682.06
223201.545,9124721.27
222522.672,9124948.46
221782.54,9125110.55
221102.7,9125333.17
220475.761,9125553.07
219905.642,9125804.85
219880.394,9126308.28
219470.749,9126600.7
229035.79,9028529.44
229669.863,9027922.49
230511.509,9028122.56
231024.433,9027578.86
231274.654,9026681.45
232045.446,9025594.67
232620.816,9024410.26
233314.993,9023234.06
234148.165,9022013.41
235058.938,9020781.31
236047.634,9019540.84
237121.746,9018326.16
238290,9017159.95
239556.119,9016062.44
240903.47,9015030.31
242315.538,9014058.92
243787.718,9013154.09
245308.465,9012310.71
246864.401,9011506.68
248443.112,9010728.73
250043.95,9009981.02
251676.914,9009283.49
253334.664,9008641.47
255031.827,9008073.44
256732.728,9007583.24
258517.439,9007248.3
260289.786,9007063.4
262074.229,9006906.16
263861.249,9006774.69
265647.966,9006657.2
267433.367,9006557.97
269216.658,9006493.4
270996.311,9006486.89
272770.125,9006548.04
274540.432,9006674.17
276306.439,9006895.29
278198.322,9007183.22
279978.999,9007901.42
281590.549,9008574.11
283119.319,9009317.73
284578.901,9010130.54
285977.158,9010986.66
287321.265,9011861.89
288594.537,9012763.98
289771.19,9013712.57
290841.104,9014685.18
291814.471,9015670.37
292477.242,9016655.31
293473.127,9017321.55
293708.98,9018529.09
294845.111,9019171.48
295443.437,9020024.51
295768.549,9020776.62
296167.888,9021416.5
296877.393,9021483.76
234870.786,9099610.94
234498.253,9099945.57
234488.624,9100564.39
234446.061,9101607.99
234611.986,9101947.75
234469.57,9102341.75
234766.408,9102725.11
234525.819,9103269.52
234857.025,9103585.74
234945.978,9104185.42
235096.493,9104851.14
235262.922,9105560.67
235384.317,9106365.35
235589.858,9107178.47
235721.397,9107968.7
235808.059,9108769.21
235814.835,9109584.58
235750.845,9110409.37
235644.107,9111239.3
235484.788,9112058.56
235369.339,9112824.1
234979.844,9113507.67
234613.785,9114270.22
234212.105,9115028.08
233798.531,9115783.41
233364.824,9116529.81
232890.593,9117251.69
232364.391,9117941.01
231797.742,9118610.03
231128.207,9119279.24
230536.767,9120015.1
229936.218,9120659.01
229319.593,9121262.81
228787.235,9121843.58
228068.812,9122180.55
227312.447,9122563.65
226534.337,9122937.13
225775.383,9123293.07
225003.934,9123610.68
224230.562,9123857.25
223446.737,9124026.23
222668.634,9124199.5
221879.355,9124370.46
221158.352,9124660.93
220529.832,9124936.88
219924.148,9125254.76
219382.403,9125564.88
219394.142,9126073.55
219027.36,9126390.75
229803.521,9028707.41
230551.742,9028915.68
231473.364,9028454.74
231933.402,9027711.69
232337.87,9026894.46
233014.036,9026286.01
233496.758,9025420.81
234015.645,9024470.53
234739.816,9023437.66
235601.773,9022343.69
236529.116,9021148.37
237547.058,9019983.43
238647.91,9018843.21
239841.653,9017755.44
241123.27,9016729.52
242476.446,9015763.65
243893.279,9014858.24
245369.276,9014016.67
246878.166,9013216.94
248415.041,9012451.61
249977.35,9011705.62
251566.735,9010999.75
253198.432,9010354.08
254826.044,9009757.25
256538.57,9009283.78
258047.549,9008784.02
259648.271,9008761.75
261367.534,9008553.44
263130.18,9008397.79
264894.619,9008266.55
266654.57,9008158.3
268413.205,9008077.36
270167.005,9008045.04
271914.048,9008075.43
273651.483,9008171.59
275372.978,9008346.29
277065.047,9008632.52
278682.193,9009067.26
280262.56,9009643.84
281795.373,9010309
283257.422,9011048.77
284647.98,9011843.09
285979.345,9012652.43
287244.338,9013473.06
288433.978,9014322.66
289522.294,9015212.44
290524.428,9016062.19
291383.85,9017032.26
292386.51,9017897.82
292773.159,9018905.9
293299.331,9019574.78
294107.432,9019562.91
294641.204,9020188.98
294970.567,9020839.19
295420.322,9021484.55
234184.339,9100334.2
234130.355,9101938.26
233995.808,9101469.9
233932.49,9102357.73
234245.12,9102808.01
233934.692,9103270.02
234078.725,9103717.97
234398.534,9103932.35
234402.927,9104545.3
234515.417,9105172.8
234668.552,9105844
234692.759,9106477.74
234889.672,9107100.46
234995.353,9107828.73
235076.207,9108582.39
235095.519,9109354.05
235046.86,9110137.64
234949.325,9110929.76
234797.321,9111731.23
234602.607,9112607.37
234199.839,9113419.24
233826.301,9114166.59
233434.434,9114895.7
233028.222,9115618.01
232596.219,9116326.67
232123.154,9117010.25
231609.76,9117664.66
231076.917,9118297.71
230500.365,9118791.23
230080.17,9119404.6
229509.781,9120007.3
228910.679,9120600.83
228241.801,9121227.26
227433.527,9121663.37
226687.322,9122051.36
225944.649,9122405.2
225207.608,9122737.6
224466.627,9123020.41
223724.676,9123246.78
222985.3,9123440.91
222273.889,9123635.08
221629.843,9123756.77
221075.286,9124043.76
220474.162,9124314.33
219936.119,9124696.79
219372.343,9125021.73
218889.993,9125326.46
218904.944,9125853.15
218574.133,9126200.2
231311.875,9029124.73
232086.363,9029278.44
232404.83,9028640.59
232876.448,9028003.52
233384.863,9027316.68
234101.464,9026504.57
234845.942,9025397.07
235331.903,9024563.74
236315.835,9023819.28
237107.953,9022509.17
238118.16,9021402.05
239181.248,9020297.07
240331.737,9019231.34
241569.206,9018220.16
242882.813,9017269.17
244255.798,9016371.57
245694.846,9015533.5
247220.442,9014750.94
248709.896,9014021.3
250217.468,9013264.72
251751.629,9012543.31
253340.067,9011872.55
255012.977,9011341.67
256452.742,9010735.76
258290.934,9010567.94
260126.342,9010467.51
261869.071,9010133.22
263632.832,9009929.31
265359.481,9009791.42
267104.294,9009675.72
268845.531,9009614.47
270578.422,9009617.68
272301.575,9009691.37
274008.415,9009849.92
275688.054,9010107.09
277298.461,9010518.3
278869.443,9010851.72
280460.14,9011256.22
281974.638,9011930.89
283362.139,9012686.64
284689.853,9013473.61
285936.792,9014221.64
287163.862,9014950.51
288283.997,9015765.66
289276.143,9016647.47
290174.753,9017214.1
290484.418,9017924.03
291358.576,9018267.69
291925.987,9018993.01
292427.834,9019730.17
292976.698,9020361.57
293782.355,9020319.95
294187.606,9020921.91
294668.343,9021507.7
233651.666,9101908.3
233521.403,9101524.67
233405.263,9102305.38
233682.184,9102789.49
233363.878,9103219.66
233574.358,9103746.79
233868.812,9104240.05
233757.507,9104838.51
233971.647,9105506.2
234082.636,9106164.64
234192.014,9106853.56
234300,9107544.73
234377.882,9108260.02
234411.249,9108993.03
234385.072,9109739.29
234303.963,9110495.11
234188.372,9111251.08
233999.88,9112019.73
233723.985,9112739.35
233383.944,9113454.51
233017.474,9114157.25
232632.282,9114854.28
232226.991,9115542.46
231791.046,9116214.41
231315.972,9116861.35
230807.866,9117484.61
230273.023,9118081.35
229728.038,9118689.91
229192.848,9119285.05
228628.059,9119861.14
228028.841,9120398.49
227379.712,9120857.43
226681.303,9121249.73
225976.254,9121608.13
225268.086,9121939.83
224558.208,9122240.35
223845.848,9122498.58
223136.879,9122719.14
222441.955,9122925.53
221770.217,9123132.91
221117.38,9123381.68
220458.946,9123622.29
219879.163,9124084.09
219401.386,9124450.2
218838.765,9124733.06
218465.681,9125093.96
218396.723,9125620.81
218137.651,9125983.82
232838.728,9029526.29
233248.301,9028958.46
233783.725,9028389.26
234333.362,9027754.54
235042.987,9027174.31
235198.512,9026156.27
236285.366,9025420.09
237521.118,9024991.95
237735.95,9023697.89
238676.796,9022772.33
239686.646,9021708.58
240799.828,9020662.76
242006.6,9019665.89
243294.823,9018737.02
244636.958,9017847.91
246010.469,9016991.67
247517.997,9016180.79
249277.927,9015673.28
250698.714,9014727.13
252160.796,9013942.84
253461.475,9013138.61
255008.746,9012664.35
257027.81,9012213.78
259116.473,9012575.31
260939.951,9012131.87
262473.813,9011572.95
264036.267,9011512.26
265747.807,9011298.8
267480.931,9011188.69
269214.135,9011169.78
270937.708,9011240.11
272638.646,9011382.93
274332.825,9011665.57
275946.006,9012096.91
277583.196,9012626.45
279251.663,9012387.46
280760.193,9012579.45
282027.817,9013331.62
283339.165,9014122.33
284596.768,9015091.83
285993.741,9015687.72
287136.68,9016219.74
288025.192,9017165.56
289259.673,9018065.53
290339.722,9018735.12
291047.609,9019270.84
291565.452,9019884.19
292153.731,9020455.74
292663.176,9020975.98
293398.546,9021014.7
293989.523,9021560.26
233146.039,9101827.2
233047.62,9101363.05
232895.015,9102185.68
233143.475,9102703.92
232823.535,9103090.18
233021.54,9103640.48
233280.821,9104242.2
232927.216,9104696.94
233291.143,9105267
233441.603,9105874.89
233544.103,9106519.22
233628.635,9107183.94
233704.369,9107861.81
233749.166,9108558.54
233747.114,9109270.1
233690.751,9109991.68
233579.13,9110710.73
233521.799,9111405.51
233241.582,9112021.99
232970.957,9112718.58
232634.215,9113401.99
232272.796,9114078.71
231891.314,9114744.9
231486.675,9115403.73
231049.022,9116042.65
230576.912,9116658.89
230077.73,9117251.66
229562.672,9117838.22
229036.433,9118416.9
228504.263,9118986.13
227942.984,9119529.02
227343.577,9120017.28
226699.821,9120439.81
226026.925,9120811.65
225348.188,9121150.67
224667.028,9121464.13
223984.38,9121743.76
223301.795,9121987.08
222628.74,9122208.92
221974.794,9122427.38
221340.845,9122668.52
220727.794,9122914.84
220082.736,9122970.46
219846.667,9123527.07
219290.335,9123789.33
218947.368,9124203.73
218437.299,9124282.91
218217.401,9124687.29
218024.438,9125217.62
217765.023,9125669.9
233536.164,9029893.22
234025.952,9029349.69
234617.256,9028866.82
235220.263,9028333.63
235961.033,9027816.08
236088.427,9026690.32
237302.55,9026372.38
238466.267,9025964.76
238993.358,9024433.18
240016.39,9023367.66
241026.989,9022281.21
242164.845,9021281.26
243418.421,9020345.15
244853.106,9019439.48
246208.976,9018559.59
247372.417,9017604.96
248793.131,9017288.77
250331.539,9017450.72
251354.438,9016245.19
252703.347,9015237.35
254171.898,9014177.77
255850.757,9013426.35
257581.425,9013752.14
259312.023,9014480.75
260900.989,9013833.7
262713.607,9013199.32
264625.647,9012940.06
266376.222,9012749.88
268115.094,9012681.3
269840.422,9012712.8
271532.815,9012857.97
273095.727,9012901.67
274546.67,9013435.78
276134.562,9013904.98
277605.547,9014589.39
278929.842,9013836.54
280416.727,9013478.6
281730.917,9014386.02
282908.735,9015335.63
283841.809,9016467.84
285232.14,9016668.55
286504.153,9017106.11
287064.908,9018100.03
288127.923,9018260.97
288564.308,9019061.33
289515.665,9019194.52
290204.104,9019653.99
290757.26,9020160.29
291379.753,9020651.52
291993.868,9021164.47
292772.651,9021648.77
293454.048,9021517.64
232668.608,9101639.71
232608.955,9101130.18
232421.027,9101994.79
232629.316,9102552.33
232314.253,9102908.37
232498.739,9103469.33
232693.118,9104053.81
232313.229,9104406.96
232255.95,9104952.17
232678.669,9105245.37
232828.615,9105769.91
232948.01,9106365.48
233019.675,9106997.5
233079.891,9107646.32
233119.22,9108311.78
233122.178,9108991.62
233076.832,9109685.49
232976.773,9110392.35
232858.264,9111176.14
232570.587,9111922.14
232294.362,9112605.69
231950.194,9113273.3
231591.212,9113906.04
231220.182,9114554.94
230818.235,9115184.03
230385.477,9115795.04
229922.446,9116385.98
229436.933,9116960.73
228937.55,9117524.88
228427.669,9118080.4
227904.375,9118622.24
227350.02,9119130.85
226767.105,9119594.79
226128.885,9119998.91
225481.496,9120342.75
224828.087,9120670.99
224171.971,9120970.5
223515.27,9121239.41
222857.185,9121475.01
222220.134,9121704.25
221597.841,9121949.18
221001.685,9122195.76
220457.543,9122429.56
